tokens,ner_tags
"['Summarize', 'the', 'statistics', 'of', 'air', 'and', 'process', 'temperatures', '.']","['B-Summary', 'O', 'O', 'O', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Recap', 'the', 'average', 'rotational', 'speed', 'and', 'torque', 'values', '.']","['B-Summary', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O', 'O']"
"['Provide', 'an', 'overview', 'of', 'tool', 'wear', 'and', 'failure', 'type', 'distribution', '.']","['O', 'O', 'B-Summary', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Give', 'a', 'synopsis', 'of', 'the', 'process', 'temperature', 'variations', '.']","['O', 'O', 'B-Summary', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Deliver', 'a', 'digest', 'of', 'rotational', 'speed', 'trends', '.']","['O', 'O', 'B-Summary', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Summation', 'of', 'the', 'torque', 'fluctuations', 'for', 'the', 'day', '.']","['B-Summary', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'O', 'O']"
"['Outline', 'the', 'variance', 'in', 'air', 'temperature', 'measurements', '.']","['B-Summary', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Give', 'an', 'abstract', 'of', 'the', 'process', 'temperature', 'and', 'tool', 'wear', 'data', '.']","['O', 'O', 'B-Summary', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Summarize', 'the', 'distribution', 'of', 'failure', 'types', 'across', 'samples', '.']","['B-Summary', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'O']"
"['Recap', 'the', 'daily', 'trends', 'in', 'process', 'temperature', '.']","['B-Summary', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'summarization', 'of', 'tool', 'wear', 'over', 'the', 'past', 'week', '.']","['O', 'O', 'B-Summary', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'O', 'O', 'O']"
"['Offer', 'a', 'recap', 'of', 'the', 'air', 'temperature', 'fluctuations', '.']","['O', 'O', 'B-Summary', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Summarize', 'the', 'rotational', 'speed', 'and', 'its', 'impact', 'on', 'torque', '.']","['B-Summary', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'O', 'O', 'B-PARAM', 'O']"
"['Give', 'a', 'summation', 'of', 'the', 'correlation', 'between', 'process', 'temperature', 'and', 'air', 'temperature', '.']","['O', 'O', 'B-Summary', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'overall', 'failure', 'type', 'distribution', '.']","['B-Summary', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Deliver', 'an', 'overview', 'of', 'torque', 'variations', 'in', 'failed', 'samples', '.']","['O', 'O', 'B-Summary', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'O', 'O']"
"['Recap', 'the', 'detailed', 'analysis', 'of', 'tool', 'wear', 'and', 'process', 'temperature', '.']","['B-Summary', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Summarization', 'of', 'the', 'dataset', ""'s"", 'key', 'performance', 'metrics', '.']","['B-Summary', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Offer', 'an', 'abstract', 'overview', 'of', 'the', 'rotational', 'speed', 'distribution', '.']","['O', 'O', 'B-Summary', 'B-Summary', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Give', 'a', 'digest', 'of', 'failure', 'type', 'trends', 'over', 'the', 'last', 'month', '.']","['O', 'O', 'B-Summary', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'O', 'O', 'O', 'O']"
