tokens,ner_tags
"['Summarize', 'the', 'rotational', 'speed', 'trend', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'summary', 'of', 'the', 'torque', 'variations', '.']","['O', 'O', 'B-SUMMARY', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Recap', 'the', 'air', 'temperature', 'fluctuations', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'process', 'temperature', 'changes', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'tool', 'wear', 'data', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Summarize', 'the', 'vibration', 'levels', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'summary', 'of', 'the', 'failure', 'type', 'occurrences', '.']","['O', 'O', 'B-SUMMARY', 'O', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Recap', 'the', 'rotational', 'speed', 'and', 'torque', 'measurements', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'air', 'temperature', 'and', 'process', 'temperature', 'trends', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'torque', 'fluctuation', 'statistics', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Summarize', 'the', 'sensor', 'data', 'for', 'rotational', 'speed', 'and', 'air', 'temperature', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'summary', 'of', 'the', 'process', 'parameters', '.']","['O', 'O', 'B-SUMMARY', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
