tokens,ner_tags
"['Determine', 'the', 'trend', 'tool', 'wear', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O']"
"['Show', 'the', 'maximum', 'air', 'pressure', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'latest', 'rotation', 'speed', 'and', 'tool', 'wear', 'and', 'system', 'load', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Show', 'the', 'average', 'fault', 'detection', 'and', 'power', 'consumption', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'trend', 'power', 'consumption', 'and', 'tool', 'wear', 'and', 'temperature', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Find', 'the', 'trend', 'temperature', 'and', 'fault', 'detection', 'and', 'summary', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-SUMMARY', 'O']"
"['Measure', 'the', 'average', 'summary', 'and', 'tool', 'wear', 'and', 'fault', 'detection', '.']","['O', 'O', 'B-FUNC', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Determine', 'the', 'average', 'rotation', 'speed', 'and', 'system', 'load', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Determine', 'the', 'average', 'system', 'load', 'and', 'air', 'pressure', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Show', 'the', 'latest', 'temperature', 'and', 'air', 'pressure', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'average', 'summartization', '.']","['O', 'O', 'B-FUNC', 'B-SUMMARY', 'O']"
"['Calculate', 'the', 'trend', 'air', 'pressure', 'and', 'summary', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-SUMMARY', 'O']"
"['Calculate', 'the', 'minimum', 'rotation', 'speed', 'and', 'torque', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Determine', 'the', 'maximum', 'power', 'consumption', 'and', 'system', 'load', 'and', 'summartization', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-SUMMARY', 'O']"
"['Identify', 'the', 'average', 'system', 'load', 'and', 'tool', 'wear', 'and', 'rotation', 'speed', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Determine', 'the', 'minimum', 'air', 'pressure', 'and', 'system', 'load', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Measure', 'the', 'average', 'temperature', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O']"
"['Measure', 'the', 'trend', 'power', 'consumption', 'and', 'tool', 'wear', 'and', 'air', 'pressure', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Find', 'the', 'minimum', 'temperature', 'and', 'tool', 'wear', 'and', 'air', 'pressure', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Measure', 'the', 'average', 'summary', 'and', 'fault', 'detection', 'and', 'tool', 'wear', '.']","['O', 'O', 'B-FUNC', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Show', 'the', 'average', 'fault', 'detection', 'and', 'summary', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-SUMMARY', 'O']"
"['Find', 'the', 'minimum', 'air', 'pressure', 'and', 'tool', 'wear', 'and', 'torque', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Determine', 'the', 'latest', 'air', 'pressure', 'and', 'summartization', 'and', 'power', 'consumption', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Determine', 'the', 'maximum', 'system', 'load', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'trend', 'power', 'consumption', 'and', 'fault', 'detection', 'and', 'torque', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Calculate', 'the', 'maximum', 'torque', 'and', 'power', 'consumption', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Identify', 'the', 'trend', 'power', 'consumption', 'and', 'torque', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Show', 'the', 'trend', 'rotation', 'speed', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O']"
"['Find', 'the', 'average', 'summary', '.']","['O', 'O', 'B-FUNC', 'B-SUMMARY', 'O']"
"['Measure', 'the', 'trend', 'system', 'load', 'and', 'torque', 'and', 'fault', 'detection', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'maximum', 'system', 'load', 'and', 'temperature', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Calculate', 'the', 'maximum', 'temperature', 'and', 'fault', 'detection', 'and', 'air', 'pressure', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'maximum', 'tool', 'wear', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O']"
"['Show', 'the', 'minimum', 'power', 'consumption', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'maximum', 'rotation', 'speed', 'and', 'fault', 'detection', 'and', 'tool', 'wear', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'latest', 'fault', 'detection', 'and', 'power', 'consumption', 'and', 'torque', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Measure', 'the', 'trend', 'air', 'pressure', 'and', 'summary', 'and', 'temperature', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-SUMMARY', 'O', 'B-PARAM', 'O']"
"['Show', 'the', 'trend', 'rotation', 'speed', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O']"
"['Calculate', 'the', 'average', 'summary', '.']","['O', 'O', 'B-FUNC', 'B-SUMMARY', 'O']"
"['Calculate', 'the', 'minimum', 'torque', 'and', 'air', 'pressure', 'and', 'summary', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-SUMMARY', 'O']"
"['Measure', 'the', 'average', 'temperature', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'O']"
"['Show', 'the', 'trend', 'power', 'consumption', 'and', 'fault', 'detection', '.']","['O', 'O', 'B-FUNC', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
