tokens,ner_tags
Determine the trend tool wear.,Determine O the O trend B-FUNC tool B-PARAM wear I-PARAM . O
Show the maximum air pressure.,Show O the O maximum B-FUNC air B-PARAM pressure I-PARAM . O
Calculate the latest rotation speed and tool wear and system load.,Calculate O the O latest B-FUNC rotation B-PARAM speed I-PARAM and O tool B-PARAM wear I-PARAM and O system B-PARAM load I-PARAM . O
Show the average fault detection and power consumption.,Show O the O average B-FUNC fault B-PARAM detection I-PARAM and O power B-PARAM consumption I-PARAM . O
Calculate the trend power consumption and tool wear and temperature.,Calculate O the O trend B-FUNC power B-PARAM consumption I-PARAM and O tool B-PARAM wear I-PARAM and O temperature B-PARAM . O
Find the trend temperature and fault detection and summary.,Find O the O trend B-FUNC temperature B-PARAM and O fault B-PARAM detection I-PARAM and O summary B-PARAM . O
Measure the average summary and tool wear and fault detection.,Measure O the O average B-FUNC summary B-PARAM and O tool B-PARAM wear I-PARAM and O fault B-PARAM detection I-PARAM . O
Determine the average rotation speed and system load.,Determine O the O average B-FUNC rotation B-PARAM speed I-PARAM and O system B-PARAM load I-PARAM . O
Determine the average system load and air pressure.,Determine O the O average B-FUNC system B-PARAM load I-PARAM and O air B-PARAM pressure I-PARAM . O
Show the latest temperature and air pressure.,Show O the O latest B-FUNC temperature B-PARAM and O air B-PARAM pressure I-PARAM . O
Calculate the average summary.,Calculate O the O average B-FUNC summary B-PARAM . O
Calculate the trend air pressure and summary.,Calculate O the O trend B-FUNC air B-PARAM pressure I-PARAM and O summary B-PARAM . O
Calculate the minimum rotation speed and torque.,Calculate O the O minimum B-FUNC rotation B-PARAM speed I-PARAM and O torque B-PARAM . O
Determine the maximum power consumption and system load and summary.,Determine O the O maximum B-FUNC power B-PARAM consumption I-PARAM and O system B-PARAM load I-PARAM and O summary B-PARAM . O
Identify the average system load and tool wear and rotation speed.,Identify O the O average B-FUNC system B-PARAM load I-PARAM and O tool B-PARAM wear I-PARAM and O rotation B-PARAM speed I-PARAM . O
Determine the minimum air pressure and system load.,Determine O the O minimum B-FUNC air B-PARAM pressure I-PARAM and O system B-PARAM load I-PARAM . O
Measure the average temperature.,Measure O the O average B-FUNC temperature B-PARAM . O
Measure the trend power consumption and tool wear and air pressure.,Measure O the O trend B-FUNC power B-PARAM consumption I-PARAM and O tool B-PARAM wear I-PARAM and O air B-PARAM pressure I-PARAM . O
Find the minimum temperature and tool wear and air pressure.,Find O the O minimum B-FUNC temperature B-PARAM and O tool B-PARAM wear I-PARAM and O air B-PARAM pressure I-PARAM . O
Measure the average summary and fault detection and tool wear.,Measure O the O average B-FUNC summary B-PARAM and O fault B-PARAM detection I-PARAM and O tool B-PARAM wear I-PARAM . O
Show the average fault detection and summary.,Show O the O average B-FUNC fault B-PARAM detection I-PARAM and O summary B-PARAM . O
Find the minimum air pressure and tool wear and torque.,Find O the O minimum B-FUNC air B-PARAM pressure I-PARAM and O tool B-PARAM wear I-PARAM and O torque B-PARAM . O
Determine the latest air pressure and summary and power consumption.,Determine O the O latest B-FUNC air B-PARAM pressure I-PARAM and O summary B-PARAM and O power B-PARAM consumption I-PARAM . O
Determine the maximum system load.,Determine O the O maximum B-FUNC system B-PARAM load I-PARAM . O
Calculate the trend power consumption and fault detection and torque.,Calculate O the O trend B-FUNC power B-PARAM consumption I-PARAM and O fault B-PARAM detection I-PARAM and O torque B-PARAM . O
Calculate the maximum torque and power consumption.,Calculate O the O maximum B-FUNC torque B-PARAM and O power B-PARAM consumption I-PARAM . O
Identify the trend power consumption and torque.,Identify O the O trend B-FUNC power B-PARAM consumption I-PARAM and O torque B-PARAM . O
Show the trend rotation speed.,Show O the O trend B-FUNC rotation B-PARAM speed I-PARAM . O
Find the average summary.,Find O the O average B-FUNC summary B-PARAM . O
Measure the trend system load and torque and fault detection.,Measure O the O trend B-FUNC system B-PARAM load I-PARAM and O torque B-PARAM and O fault B-PARAM detection I-PARAM . O
Calculate the maximum system load and temperature.,Calculate O the O maximum B-FUNC system B-PARAM load I-PARAM and O temperature B-PARAM . O
Calculate the maximum temperature and fault detection and air pressure.,Calculate O the O maximum B-FUNC temperature B-PARAM and O fault B-PARAM detection I-PARAM and O air B-PARAM pressure I-PARAM . O
Calculate the maximum tool wear.,Calculate O the O maximum B-FUNC tool B-PARAM wear I-PARAM . O
Show the minimum power consumption.,Show O the O minimum B-FUNC power B-PARAM consumption I-PARAM . O
Calculate the maximum rotation speed and fault detection and tool wear.,Calculate O the O maximum B-FUNC rotation B-PARAM speed I-PARAM and O fault B-PARAM detection I-PARAM and O tool B-PARAM wear I-PARAM . O
Calculate the latest fault detection and power consumption and torque.,Calculate O the O latest B-FUNC fault B-PARAM detection I-PARAM and O power B-PARAM consumption I-PARAM and O torque B-PARAM . O
Measure the trend air pressure and summary and temperature.,Measure O the O trend B-FUNC air B-PARAM pressure I-PARAM and O summary B-PARAM and O temperature B-PARAM . O
Show the trend rotation speed.,Show O the O trend B-FUNC rotation B-PARAM speed I-PARAM . O
Calculate the average summary.,Calculate O the O average B-FUNC summary B-PARAM . O
Calculate the minimum torque and air pressure and summary.,Calculate O the O minimum B-FUNC torque B-PARAM and O air B-PARAM pressure I-PARAM and O summary B-PARAM . O
Measure the average temperature.,Measure O the O average B-FUNC temperature B-PARAM . O
Show the trend power consumption and fault detection.,Show O the O trend B-FUNC power B-PARAM consumption I-PARAM and O fault B-PARAM detection I-PARAM . O
Calculate the trend air pressure and torque and rotation speed.,Calculate O the O trend B-FUNC air B-PARAM pressure I-PARAM and O torque B-PARAM and O rotation B-PARAM speed I-PARAM . O
Find the minimum temperature and torque.,Find O the O minimum B-FUNC temperature B-PARAM and O torque B-PARAM . O
Calculate the minimum temperature and rotation speed and air pressure.,Calculate O the O minimum B-FUNC temperature B-PARAM and O rotation B-PARAM speed I-PARAM and O air B-PARAM pressure I-PARAM . O
Measure the maximum summary and torque and fault detection.,Measure O the O maximum B-FUNC summary B-PARAM and O torque B-PARAM and O fault B-PARAM detection I-PARAM . O
Identify the minimum fault detection and summary.,Identify O the O minimum B-FUNC fault B-PARAM detection I-PARAM and O summary B-PARAM . O
Identify the trend torque.,Identify O the O trend B-FUNC torque B-PARAM . O
Show the maximum fault detection and torque and power consumption.,Show O the O maximum B-FUNC fault B-PARAM detection I-PARAM and O torque B-PARAM and O power B-PARAM consumption I-PARAM . O
Show the minimum summary and system load.,Show O the O minimum B-FUNC summary B-PARAM and O system B-PARAM load I-PARAM . O
Show the latest rotation speed and temperature and tool wear.,Show O the O latest B-FUNC rotation B-PARAM speed I-PARAM and O temperature B-PARAM and O tool B-PARAM wear I-PARAM . O
Identify the trend rotation speed.,Identify O the O trend B-FUNC rotation B-PARAM speed I-PARAM . O
Find the minimum rotation speed.,Find O the O minimum B-FUNC rotation B-PARAM speed I-PARAM . O
Measure the trend air pressure.,Measure O the O trend B-FUNC air B-PARAM pressure I-PARAM . O
Calculate the trend tool wear and summary.,Calculate O the O trend B-FUNC tool B-PARAM wear I-PARAM and O summary B-PARAM . O
Show the minimum rotation speed and fault detection.,Show O the O minimum B-FUNC rotation B-PARAM speed I-PARAM and O fault B-PARAM detection I-PARAM . O
Show the maximum air pressure and fault detection and rotation speed.,Show O the O maximum B-FUNC air B-PARAM pressure I-PARAM and O fault B-PARAM detection I-PARAM and O rotation B-PARAM speed I-PARAM . O
Show the trend temperature.,Show O the O trend B-FUNC temperature B-PARAM . O
Calculate the average rotation speed and system load and summary.,Calculate O the O average B-FUNC rotation B-PARAM speed I-PARAM and O system B-PARAM load I-PARAM and O summary B-PARAM . O
Show the minimum torque and tool wear and temperature.,Show O the O minimum B-FUNC torque B-PARAM and O tool B-PARAM wear I-PARAM and O temperature B-PARAM . O
Determine the maximum system load.,Determine O the O maximum B-FUNC system B-PARAM load I-PARAM . O
Determine the average rotation speed and summary and power consumption.,Determine O the O average B-FUNC rotation B-PARAM speed I-PARAM and O summary B-PARAM and O power B-PARAM consumption I-PARAM . O
Find the latest power consumption and fault detection and summary.,Find O the O latest B-FUNC power B-PARAM consumption I-PARAM and O fault B-PARAM detection I-PARAM and O summary B-PARAM . O
Determine the average air pressure and temperature and fault detection.,Determine O the O average B-FUNC air B-PARAM pressure I-PARAM and O temperature B-PARAM and O fault B-PARAM detection I-PARAM . O
Show the average torque and summary and rotation speed.,Show O the O average B-FUNC torque B-PARAM and O summary B-PARAM and O rotation B-PARAM speed I-PARAM . O
Show the minimum fault detection.,Show O the O minimum B-FUNC fault B-PARAM detection I-PARAM . O
Determine the average summary and power consumption and torque.,Determine O the O average B-FUNC summary B-PARAM and O power B-PARAM consumption I-PARAM and O torque B-PARAM . O
Identify the latest summary and air pressure and fault detection.,Identify O the O latest B-FUNC summary B-PARAM and O air B-PARAM pressure I-PARAM and O fault B-PARAM detection I-PARAM . O
Measure the minimum torque.,Measure O the O minimum B-FUNC torque B-PARAM . O
Determine the minimum rotation speed and air pressure and summary.,Determine O the O minimum B-FUNC rotation B-PARAM speed I-PARAM and O air B-PARAM pressure I-PARAM and O summary B-PARAM . O
Determine the minimum fault detection.,Determine O the O minimum B-FUNC fault B-PARAM detection I-PARAM . O
Identify the maximum tool wear and power consumption.,Identify O the O maximum B-FUNC tool B-PARAM wear I-PARAM and O power B-PARAM consumption I-PARAM . O
Identify the minimum air pressure.,Identify O the O minimum B-FUNC air B-PARAM pressure I-PARAM . O
Find the latest summary and tool wear and air pressure.,Find O the O latest B-FUNC summary B-PARAM and O tool B-PARAM wear I-PARAM and O air B-PARAM pressure I-PARAM . O
Determine the latest tool wear.,Determine O the O latest B-FUNC tool B-PARAM wear I-PARAM . O
Show the minimum system load.,Show O the O minimum B-FUNC system B-PARAM load I-PARAM . O
Measure the latest tool wear and torque and fault detection.,Measure O the O latest B-FUNC tool B-PARAM wear I-PARAM and O torque B-PARAM and O fault B-PARAM detection I-PARAM . O
Determine the latest torque and rotation speed and tool wear.,Determine O the O latest B-FUNC torque B-PARAM and O rotation B-PARAM speed I-PARAM and O tool B-PARAM wear I-PARAM . O
Determine the latest temperature.,Determine O the O latest B-FUNC temperature B-PARAM . O
Show the trend tool wear and power consumption.,Show O the O trend B-FUNC tool B-PARAM wear I-PARAM and O power B-PARAM consumption I-PARAM . O
Show the latest torque and temperature.,Show O the O latest B-FUNC torque B-PARAM and O temperature B-PARAM . O
Show the minimum torque and fault detection and summary.,Show O the O minimum B-FUNC torque B-PARAM and O fault B-PARAM detection I-PARAM and O summary B-PARAM . O
Identify the average system load and air pressure.,Identify O the O average B-FUNC system B-PARAM load I-PARAM and O air B-PARAM pressure I-PARAM . O
Measure the maximum rotation speed.,Measure O the O maximum B-FUNC rotation B-PARAM speed I-PARAM . O
Measure the trend power consumption.,Measure O the O trend B-FUNC power B-PARAM consumption I-PARAM . O
Identify the trend system load and fault detection.,Identify O the O trend B-FUNC system B-PARAM load I-PARAM and O fault B-PARAM detection I-PARAM . O
Determine the minimum tool wear and torque and summary.,Determine O the O minimum B-FUNC tool B-PARAM wear I-PARAM and O torque B-PARAM and O summary B-PARAM . O
Identify the latest tool wear and power consumption.,Identify O the O latest B-FUNC tool B-PARAM wear I-PARAM and O power B-PARAM consumption I-PARAM . O
Find the trend system load and air pressure and fault detection.,Find O the O trend B-FUNC system B-PARAM load I-PARAM and O air B-PARAM pressure I-PARAM and O fault B-PARAM detection I-PARAM . O
Measure the latest air pressure and torque.,Measure O the O latest B-FUNC air B-PARAM pressure I-PARAM and O torque B-PARAM . O
Calculate the maximum system load and tool wear and power consumption.,Calculate O the O maximum B-FUNC system B-PARAM load I-PARAM and O tool B-PARAM wear I-PARAM and O power B-PARAM consumption I-PARAM . O
Identify the trend fault detection and rotation speed and tool wear.,Identify O the O trend B-FUNC fault B-PARAM detection I-PARAM and O rotation B-PARAM speed I-PARAM and O tool B-PARAM wear I-PARAM . O
Identify the maximum temperature and torque and fault detection.,Identify O the O maximum B-FUNC temperature B-PARAM and O torque B-PARAM and O fault B-PARAM detection I-PARAM . O
Calculate the average fault detection and air pressure.,Calculate O the O average B-FUNC fault B-PARAM detection I-PARAM and O air B-PARAM pressure I-PARAM . O
Measure the trend tool wear and power consumption and temperature.,Measure O the O trend B-FUNC tool B-PARAM wear I-PARAM and O power B-PARAM consumption I-PARAM and O temperature B-PARAM . O
Find the minimum rotation speed and system load and power consumption.,Find O the O minimum B-FUNC rotation B-PARAM speed I-PARAM and O system B-PARAM load I-PARAM and O power B-PARAM consumption I-PARAM . O
Find the maximum tool wear and temperature and torque.,Find O the O maximum B-FUNC tool B-PARAM wear I-PARAM and O temperature B-PARAM and O torque B-PARAM . O
Measure the latest power consumption and rotation speed.,Measure O the O latest B-FUNC power B-PARAM consumption I-PARAM and O rotation B-PARAM speed I-PARAM . O
Find the trend tool wear.,Find O the O trend B-FUNC tool B-PARAM wear I-PARAM . O
Find the average air pressure and rotation speed.,Find O the O average B-FUNC air B-PARAM pressure I-PARAM and O rotation B-PARAM speed I-PARAM . O
Calculate the average air pressure and system load and fault detection.,Calculate O the O average B-FUNC air B-PARAM pressure I-PARAM and O system B-PARAM load I-PARAM and O fault B-PARAM detection I-PARAM . O
Identify the maximum system load and power consumption and torque.,Identify O the O maximum B-FUNC system B-PARAM load I-PARAM and O power B-PARAM consumption I-PARAM and O torque B-PARAM . O
Measure the latest system load.,Measure O the O latest B-FUNC system B-PARAM load I-PARAM . O
Find the latest summary and rotation speed and air pressure.,Find O the O latest B-FUNC summary B-PARAM and O rotation B-PARAM speed I-PARAM and O air B-PARAM pressure I-PARAM . O
Calculate the latest system load.,Calculate O the O latest B-FUNC system B-PARAM load I-PARAM . O
Identify the trend torque and system load.,Identify O the O trend B-FUNC torque B-PARAM and O system B-PARAM load I-PARAM . O
Show the average tool wear and air pressure and power consumption.,Show O the O average B-FUNC tool B-PARAM wear I-PARAM and O air B-PARAM pressure I-PARAM and O power B-PARAM consumption I-PARAM . O
Find the maximum tool wear.,Find O the O maximum B-FUNC tool B-PARAM wear I-PARAM . O
Calculate the maximum fault detection and tool wear.,Calculate O the O maximum B-FUNC fault B-PARAM detection I-PARAM and O tool B-PARAM wear I-PARAM . O
Measure the maximum summary and torque and power consumption.,Measure O the O maximum B-FUNC summary B-PARAM and O torque B-PARAM and O power B-PARAM consumption I-PARAM . O
Calculate the average summary and system load.,Calculate O the O average B-FUNC summary B-PARAM and O system B-PARAM load I-PARAM . O
Measure the minimum air pressure and torque and rotation speed.,Measure O the O minimum B-FUNC air B-PARAM pressure I-PARAM and O torque B-PARAM and O rotation B-PARAM speed I-PARAM . O
Show the latest air pressure and power consumption.,Show O the O latest B-FUNC air B-PARAM pressure I-PARAM and O power B-PARAM consumption I-PARAM . O
Find the latest rotation speed.,Find O the O latest B-FUNC rotation B-PARAM speed I-PARAM . O
Calculate the maximum air pressure and torque and temperature.,Calculate O the O maximum B-FUNC air B-PARAM pressure I-PARAM and O torque B-PARAM and O temperature B-PARAM . O
Measure the trend temperature.,Measure O the O trend B-FUNC temperature B-PARAM . O
