Prompt,air_temperature,fault_detection,power_consumption,process_efficiency,process_temperature,rotational_speed,summary,system_load,tool_wear,torque
What is the overall system health?,0,0,0,0,0,0,1,0,0,0
What is the tool wear percentage?,0,0,0,0,0,0,0,0,1,0
Show me the latest recorded values for rotational speed and system load.,0,0,0,0,0,1,0,1,0,0
Generate a brief report on system performance.,0,0,0,0,0,0,1,0,0,0
Summarize the last set of log entries.,0,0,0,0,0,0,1,0,0,0
Can you summarize today's log activity?,0,0,0,0,0,0,1,0,0,0
"Give me a combined report on air temperature, power consumption, and torque.",1,0,1,0,0,0,0,0,0,1
What is the overall system health?,0,0,0,0,0,0,1,0,0,0
Show me the latest recorded values for rotational speed and system load.,0,0,0,0,0,1,0,1,0,0
What was the peak temperature recorded today?,0,0,0,0,1,0,0,0,0,0
How much load is currently on the system?,0,0,0,0,0,0,0,1,0,0
Is there an increasing trend in error logs?,0,1,0,0,0,0,0,0,0,0
What are the key events from the past hour?,0,0,0,0,0,0,1,0,0,0
"Fetch the latest values of rotational speed, torque, and tool wear.",0,0,0,0,0,1,0,0,1,1
Show me the latest recorded values for rotational speed and system load.,0,0,0,0,0,1,0,1,0,0
What are the recent fluctuations in process temperature and tool wear?,0,0,0,0,1,0,0,0,1,0
What are the current readings for power consumption and process efficiency?,0,0,1,1,0,0,0,0,0,0
"Fetch the latest values of rotational speed, torque, and tool wear.",0,0,0,0,0,1,0,0,1,1
Can you summarize today's log activity?,0,0,0,0,0,0,1,0,0,0
Check if the system is at risk of imminent failure.,0,1,0,0,0,0,0,0,0,0
Show me the latest recorded values for rotational speed and system load.,0,0,0,0,0,1,0,1,0,0
What are the current air temperature and torque levels?,1,0,0,0,0,0,0,0,0,1
What was the peak temperature recorded today?,0,0,0,0,1,0,0,0,0,0
"Give me a combined report on air temperature, power consumption, and torque.",1,0,1,0,0,0,0,0,0,1
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
How much load is currently on the system?,0,0,0,0,0,0,0,1,0,0
Check if the system is at risk of imminent failure.,0,1,0,0,0,0,0,0,0,0
Provide a high-level summary of all alerts.,0,0,0,0,0,0,1,0,0,0
How much load is currently on the system?,0,0,0,0,0,0,0,1,0,0
